,,,,,,,,,,,,,,,
Image Size,total time,total time – file IO,File IO Read,File IO write,Host to Device,Horizontal Convolution,Vertical Convolution,Magnitude Kernel,Gradient Kernel,Thrust Sorting,Suppression Kernel,Hysteresis Kernel,Edge Linking Kernel,Device to Host,Block Size
256,321409.868131868,243752.483516484,349.56043956044,77307.8241758242,479.747252747253,368.758241758242,285.296703296703,232.659340659341,249.153846153846,458.967032967033,256.076923076923,275.10989010989,239.186813186813,1066.20879120879,8
256,344716.36,270049.08,351.06,74316.22,377.4,256.84,219.52,193.96,193.24,429.48,202.44,190.86,189.84,1112.38,12
256,390158.42,370123.62,327.06,90371.8,287.8,141.96,92.3,63.52,64.34,315.26,174.38,107.08,100.46,1057.28,16
256,326962.78,241375.44,317.72,85269.62,581.38,353.86,307.96,192.96,384.06,473.44,256.08,198.9,187.36,1045.64,20
256,711156.46,611159.3,345.66,99651.5,738.44,492,460.32,356.78,439.5,638.74,496.54,436.52,411.48,1110.64,24
256,468373.36,372760.58,345.66,95267.12,477.8,407.42,416.04,381.42,377.02,503.34,333.34,318.4,282.62,1103.92,28
256,700415.36,609965.44,351.56,90098.36,556.9,353.14,328.6,195.96,209.14,458.74,295.74,286.74,245.76,1127.86,32
,,,,,,,,,,,,,,,
512,290714.511111111,285200.311111111,1630.06666666667,3884.13333333333,576.588888888889,380.288888888889,394.211111111111,285.588888888889,320.322222222222,1780.43333333333,264.811111111111,281.177777777778,272.4,4157.78888888889,8
512,305116.08,299976.54,1165.22,3974.32,598.92,537.44,438.78,357.08,316.56,1207.32,329.9,459.22,425.46,4236.7,12
512,437857.2,432595.06,1163.58,4098.56,554.46,367.08,303.14,215.3,215.52,2713.52,272.74,174.6,198.24,4311.98,16
512,270936.56,261501.16,1146.62,8288.78,629.26,397.8,349.08,232.76,230.26,2255.5,296.86,259.36,244.56,4216.78,20
512,562502.58,557192.84,1213.08,4096.66,639.82,638.6,547.38,477.1,419.82,3127.82,319.06,394.18,324.3,4293.98,24
512,522774.3,517464.62,1163.32,4146.36,684.94,580.26,535.12,419.48,414.9,3865.78,390.2,413.52,461.38,4339.56,28
512,401563.4,396367.06,1183.36,4012.98,661.62,603.14,637.12,419.78,471.82,1572.34,315.48,403.86,380.76,4262.66,32
,,,,,,,,,,,,,,,
1024,315577.943820225,298234.303370787,4127.05617977528,13216.5842696629,1530.50561797753,934.516853932584,857.292134831461,547.269662921348,537.988764044944,3337.02247191011,477.741573033708,560.775280898876,434.325842696629,14432.393258427,8
1024,338418.7,320033.74,4314.16,14070.8,1476.22,900.8,877.04,477.54,1585.06,3154.92,592.88,708.96,513.4,15356.9,12
1024,364370.44,345403.84,4350.74,14615.86,1798.18,1045.16,998.2,635.06,657.16,3789.16,968.24,711.02,584.16,14455.72,16
1024,336201.28,318036.22,3964.26,14200.8,1329.72,833.86,855.76,362,391.48,4225.1,309.46,340.42,270.44,14419.4,20
1024,467556.9,435072.4,4291.22,28193.28,1584.24,950.46,764.62,448.04,470.08,3442.26,583.2,440.1,280.02,14744.84,24
1024,370967.34,352923.4,4302.54,13741.4,1545.5,845.36,783.94,476.7,471.92,4734.02,495.36,400.4,786.78,14521.14,28
1024,382090.16,363889.84,4259.5,13940.82,1458.76,955.58,915.2,355.24,404.36,4126.62,432.5,278.22,272.6,14704.22,32
,,,,,,,,,,,,,,,
2048,429691.593023256,368564.406976744,14625.0581395349,46502.1279069767,5051.73255813954,2245.87209302326,2140.53488372093,789.46511627907,779.244186046512,5965.22093023256,859.488372093023,1179.8488372093,555.546511627907,55519.9651162791,8
2048,438592.170212766,376508.978723404,15286.6170212766,46796.5744680851,5154.57446808511,3020.6170212766,2076.48936170213,638.617021276596,639.553191489362,6264.57446808511,1101.65957446809,816.170212765957,461.425531914894,56083.7021276596,12
2048,646475.7,580864.08,14942.32,50669.3,4827.22,3105.4,2367.82,993.72,991.14,5383.58,897.02,609.1,355.72,56282.4,16
2048,488937.361702128,427252.382978723,14946.3617021277,46738.6170212766,4870.70212765957,2473.21276595745,2462.12765957447,1169.06382978723,1158.74468085106,4824.78723404255,991.106382978724,973.510638297872,770.617021276596,56844.4042553192,20
